method,n,iteration,absolute_residual,relative_residual
"CG",32,30,0.05366019938489588,0.0015106426582584469
"CG",32,31,0.06629353351637082,0.0018662964514571786
"CG",32,32,0.04776818459755189,0.0013447705783392514
"CG",32,33,0.0275135478411824,0.0007745617706486534
"CG",32,34,0.025351505646323377,0.0007136959295607038
"CG",32,35,0.022562513518386885,0.0006351801854840283
"CG",32,36,0.013571286409153319,0.0003820590383956115
"CG",32,37,0.010091429462662149,0.00028409405861049686
"CG",32,38,0.009036850910837328,0.0002544055489677353
"CG",32,39,0.005654135730446889,0.00015917530549468208
"CG",32,40,0.003833523472269789,0.00010792140459835569
"CG",32,41,0.003271572349469984,9.210134899497371E-05
"CG",32,42,0.00197537838684494,5.5610879042124394E-05
"CG",32,43,0.0012743757234126162,3.587624258768492E-05
"CG",32,44,0.0009969684582017957,2.8066669508531648E-05
"CG",32,45,0.0005567470470151165,1.567355039156249E-05
"CG",32,46,0.0003406920253495504,9.591166501821928E-06
"CG",32,47,0.00024189824845600964,6.809922759595755E-06
"CG",32,48,0.00011925560636410154,3.357285442006728E-06
"CG",32,49,6.95759656156071E-05,1.9587035242743337E-06
"CG",32,50,4.4924291905998734E-05,1.2647092728537024E-06
"CG",32,51,2.2372324115963315E-05,6.298259708567416E-07
"CG",32,52,1.6777266800797257E-05,4.723138417074432E-07
"CG",32,53,1.2552457863056577E-05,3.533769633972396E-07
"CG",32,54,9.219151090421642E-06,2.595376660870346E-07
"CG",32,55,6.723295001455594E-06,1.8927429174095517E-07
"CG",32,56,4.445502196096926E-06,1.251498379019423E-07
"CG",32,57,2.9533677231984648E-06,8.31432480558958E-08
"CG",32,58,2.6552028546504116E-06,7.474930664707028E-08
"CG",32,59,1.9958747490252043E-06,5.6187892907215206E-08
"CG",32,60,1.3876493197133194E-06,3.9065122401544755E-08
"CG",32,61,9.492986595303466E-07,2.6724668692113648E-08
"CG",32,62,6.524212370964275E-07,1.8366971483692036E-08
"CG",32,63,5.702636156675883E-07,1.6054069014932534E-08
"CG",32,64,3.908645426054118E-07,1.1003623885650549E-08
"CG",32,65,2.740890017246296E-07,7.716157280646338E-09
"Jacobi-CG",32,0,35.521437906935816,1
"Jacobi-CG",32,1,109.48150846212839,3.0821249057812308
"Jacobi-CG",32,2,71.5521770973127,2.014337856614234
"Jacobi-CG",32,3,52.96759513922719,1.4911444541743872
"Jacobi-CG",32,4,41.5416638095981,1.169481480970307
"Jacobi-CG",32,5,33.62764572899959,0.9466859370136463
"Jacobi-CG",32,6,29.42850741525969,0.8284717384572308
"Jacobi-CG",32,7,30.81897129137215,0.8676160962885606
"Jacobi-CG",32,8,22.430650364060874,0.6314679721814169
"Jacobi-CG",32,9,21.440915919903404,0.6036049547340231
"Jacobi-CG",32,10,17.40139142440685,0.4898842065458477
"Jacobi-CG",32,11,15.15286047651114,0.42658353291358275
"Jacobi-CG",32,12,13.922287595220501,0.39194042852927624
"Jacobi-CG",32,13,13.167753989200278,0.3706987882556742
"Jacobi-CG",32,14,9.568891770226065,0.26938357043135547
"Jacobi-CG",32,15,9.046539384079798,0.2546782989973893
"Jacobi-CG",32,16,7.214996120610105,0.203116668292342
"Jacobi-CG",32,17,5.885874888647312,0.16569922940811055
"Jacobi-CG",32,18,4.649633541255527,0.1308965462895198
"Jacobi-CG",32,19,3.570367774896173,0.100513041849554
"Jacobi-CG",32,20,2.5431762414624783,0.07159553191865313
"Jacobi-CG",32,21,1.589513018449252,0.04474799197638585
"Jacobi-CG",32,22,0.9472695024102271,0.026667543833445603
"Jacobi-CG",32,23,0.4423432817083487,0.012452854044570588
"Jacobi-CG",32,24,0.22222805037115517,0.006256167077283872
"Jacobi-CG",32,25,0.1597562623177478,0.0044974604557478865
"Jacobi-CG",32,26,0.2000206946376779,0.0056309852985602935
"Jacobi-CG",32,27,0.2610152271635341,0.007348104202520726
"Jacobi-CG",32,28,0.16327409912937613,0.00459649464520961
"Jacobi-CG",32,29,0.07321629172902872,0.0020611860342154872
